run_id,run_dir,result_json,target_rescore_json,trace_jsonl,architecture,dataset,dataset_label,system_label,listed_in_runs_md,is_internal_shard,is_full_eval,is_mini_eval,is_exploratory_name,analysis_tier,eval_set,fixture,eval_queries_requested,eval_queries_completed,eval_queries_failed,top_k,trace_top_k,parser_max_facts,has_target_rescore,has_trace,has_qa_metrics,trace_has_query_level_qa,benchmark_ndcg,benchmark_mrr,benchmark_recall_at_k,qa_f1_generated,qa_bleu1_generated,qa_f1_top1,qa_f1_concat3,qa_em_generated,qa_f1_no_stopwords,raw_queries,raw_zero_target_cases,raw_top1_hit_rate,raw_hit_rate_at_k,raw_recall_at_k,raw_mrr,raw_ndcg,raw_micro_recall_at_k,source_queries,source_zero_target_cases,source_top1_hit_rate,source_hit_rate_at_k,source_recall_at_k,source_mrr,source_ndcg,source_micro_recall_at_k,canonical_queries,canonical_zero_target_cases,canonical_top1_hit_rate,canonical_hit_rate_at_k,canonical_recall_at_k,canonical_mrr,canonical_ndcg,canonical_micro_recall_at_k,raw_vs_source_shared_queries,raw_vs_source_hit_flips,raw_vs_source_top1_flips,raw_vs_source_ndcg_changed,raw_vs_canonical_shared_queries,raw_vs_canonical_hit_flips,raw_vs_canonical_top1_flips,raw_vs_canonical_ndcg_changed,source_vs_canonical_shared_queries,source_vs_canonical_hit_flips,source_vs_canonical_top1_flips,source_vs_canonical_ndcg_changed
20260315T072555Z_locomo_mem0_full_appendonly_overnight,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072555Z_locomo_mem0_full_appendonly_overnight,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072555Z_locomo_mem0_full_appendonly_overnight\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072555Z_locomo_mem0_full_appendonly_overnight\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072555Z_locomo_mem0_full_appendonly_overnight\trace.jsonl,mem0,LoCoMo,LoCoMo (Mem0),mem0 / append-only,True,False,True,False,False,transfer_full,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.fixture.json,1977,1977,0,60,60,,True,True,False,False,,,,,,,,,,1977,0,0.03894790085988872,0.7749114820435002,0.7231065706000757,0.15765988321522412,0.2748920715788433,0.64349376114082,1977,0,0.511380880121396,0.9590288315629742,0.9454258916152345,0.6202129593145491,0.662543604120512,0.9294117647058824,1977,0,0.47243297926150735,0.919069296914517,0.9014910122880496,0.5768049678394517,0.6168968319731423,0.8909090909090909,1977,364,934,1627,1977,443,1011,1896,1977,79,77,324
20260315T061249Z_locomo_mem0_probe_c1_appendonly,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T061249Z_locomo_mem0_probe_c1_appendonly,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T061249Z_locomo_mem0_probe_c1_appendonly\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T061249Z_locomo_mem0_probe_c1_appendonly\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T061249Z_locomo_mem0_probe_c1_appendonly\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / append_only,False,False,False,True,True,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.fixture.json,196,196,0,60,60,,True,True,False,False,,,,,,,,,,196,0,0.0,0.0,0.0,0.0,0.0,0.0,196,0,0.5204081632653061,0.9846938775510204,0.9766156462585035,0.6267705903098186,0.6818789632604956,0.9718875502008032,196,0,0.5204081632653061,0.9846938775510204,0.9766156462585035,0.6267705903098186,0.6818789632604956,0.9718875502008032,196,193,102,193,196,193,102,193,196,0,0,0
20260315T062821Z_locomo_mem0_probe_c1_rawonly,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T062821Z_locomo_mem0_probe_c1_rawonly,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T062821Z_locomo_mem0_probe_c1_rawonly\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T062821Z_locomo_mem0_probe_c1_rawonly\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T062821Z_locomo_mem0_probe_c1_rawonly\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / append_only,False,False,False,True,True,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.fixture.json,196,196,0,60,60,,True,True,False,False,,,,,,,,,,196,0,0.0,0.0,0.0,0.0,0.0,0.0,196,0,0.0,0.0,0.0,0.0,0.0,0.0,0,196,,,,,,,196,0,0,0,0,0,0,0,0,0,0,0
20260315T063050Z_locomo_mem0_probe_c1_rawonly_fixed,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063050Z_locomo_mem0_probe_c1_rawonly_fixed,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063050Z_locomo_mem0_probe_c1_rawonly_fixed\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063050Z_locomo_mem0_probe_c1_rawonly_fixed\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063050Z_locomo_mem0_probe_c1_rawonly_fixed\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / append_only,False,False,False,True,True,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.fixture.json,196,196,0,60,60,,True,True,False,False,,,,,,,,,,196,0,0.29591836734693877,0.923469387755102,0.883078231292517,0.42988728525547826,0.5254075516680223,0.8433734939759037,196,0,0.29591836734693877,0.923469387755102,0.883078231292517,0.42988728525547826,0.5254075516680223,0.8433734939759037,0,196,,,,,,,196,0,0,0,0,0,0,0,0,0,0,0
20260315T063740Z_locomo_mem0_probe_c1_appendonly_v2,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063740Z_locomo_mem0_probe_c1_appendonly_v2,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063740Z_locomo_mem0_probe_c1_appendonly_v2\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063740Z_locomo_mem0_probe_c1_appendonly_v2\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T063740Z_locomo_mem0_probe_c1_appendonly_v2\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / append_only,False,False,False,True,True,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.fixture.json,196,196,0,60,60,,True,True,False,False,,,,,,,,,,196,0,0.061224489795918366,0.8520408163265306,0.8078231292517007,0.2020626348475361,0.3283346470826811,0.7469879518072289,196,0,0.5306122448979592,0.9897959183673469,0.9787414965986394,0.6458401565680727,0.6994389667653882,0.963855421686747,196,0,0.46938775510204084,0.9438775510204082,0.923469387755102,0.5814156329479544,0.6367246160846693,0.9116465863453815,196,27,92,162,196,36,104,194,196,9,12,36
20260315T064855Z_locomo_mem0_pilot_c3_appendonly_v3,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T064855Z_locomo_mem0_pilot_c3_appendonly_v3,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T064855Z_locomo_mem0_pilot_c3_appendonly_v3\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T064855Z_locomo_mem0_pilot_c3_appendonly_v3\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T064855Z_locomo_mem0_pilot_c3_appendonly_v3\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / append_only,False,False,False,True,False,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.fixture.json,494,494,0,60,60,,True,True,False,False,,,,,,,,,,494,0,0.05668016194331984,0.8036437246963563,0.7648110661268556,0.17799542603853258,0.29823701290071986,0.7083993660855784,494,0,0.5465587044534413,0.9817813765182186,0.9710863697705804,0.6553346221333031,0.7047279640973114,0.9556259904912837,494,0,0.4898785425101215,0.937246963562753,0.9198043184885291,0.6012763741181445,0.6506295512525121,0.9096671949286846,494,88,242,413,494,110,270,485,494,22,28,85
20260315T072945Z_locomo_mem0_smoke_inferworkers,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072945Z_locomo_mem0_smoke_inferworkers,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072945Z_locomo_mem0_smoke_inferworkers\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072945Z_locomo_mem0_smoke_inferworkers\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T072945Z_locomo_mem0_smoke_inferworkers\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / append_only,False,False,True,False,True,exploratory,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\tmp_locomo_mem0_smoke.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\tmp_locomo_mem0_smoke.fixture.json,10,10,0,60,60,,True,True,False,False,,,,,,,,,,10,0,0.0,0.9,0.9,0.20688095238095236,0.3583550017719094,0.9166666666666666,10,0,0.6,1.0,1.0,0.7266666666666666,0.7311984731185491,1.0,10,0,0.6,1.0,1.0,0.6969047619047618,0.7017831563645925,1.0,10,1,6,9,10,1,6,10,10,0,0,1
20260315T051004Z_locomo_mem0_pilot_c3_local,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051004Z_locomo_mem0_pilot_c3_local,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051004Z_locomo_mem0_pilot_c3_local\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051004Z_locomo_mem0_pilot_c3_local\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051004Z_locomo_mem0_pilot_c3_local\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / unknown,False,False,False,True,False,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.fixture.json,494,494,0,60,60,,True,True,False,False,,,,,,,,,,433,61,0.0,0.0,0.0,0.0,0.0,0.0,435,59,0.0,0.0,0.0,0.0,0.0,0.0,23,471,0.0,0.0,0.0,0.0,0.0,0.0,433,0,0,0,21,0,0,0,23,0,0,0
20260315T051625Z_locomo_mem0_pilot_c3_local_fixed,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051625Z_locomo_mem0_pilot_c3_local_fixed,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051625Z_locomo_mem0_pilot_c3_local_fixed\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051625Z_locomo_mem0_pilot_c3_local_fixed\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T051625Z_locomo_mem0_pilot_c3_local_fixed\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / unknown,False,False,False,True,False,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.fixture.json,494,494,0,60,60,,True,True,False,False,,,,,,,,,,494,0,0.2651821862348178,0.8987854251012146,0.8673414304993253,0.39898759043641996,0.49275692000861226,0.8351822503961965,494,0,0.32793522267206476,0.9048582995951417,0.8727395411605938,0.45831516771604724,0.5363063944930351,0.8446909667194928,317,177,0.09779179810725552,0.4384858044164038,0.4152471083070452,0.17219551240900333,0.21701159106599352,0.38666666666666666,494,3,31,73,317,159,102,295,317,156,71,240
20260315T052731Z_locomo_mem0_pilot_c3_local_fixed4,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T052731Z_locomo_mem0_pilot_c3_local_fixed4,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T052731Z_locomo_mem0_pilot_c3_local_fixed4\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T052731Z_locomo_mem0_pilot_c3_local_fixed4\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_mem0\20260315T052731Z_locomo_mem0_pilot_c3_local_fixed4\trace.jsonl,mem0,LoCoMo,LoCoMo,mem0 / unknown,False,False,False,True,False,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini3.fixture.json,494,494,0,60,60,,True,True,False,False,,,,,,,,,,494,0,0.13562753036437247,0.854251012145749,0.8225708502024291,0.26984556832633544,0.3809878117442558,0.7812995245641838,494,0,0.4109311740890688,0.9412955465587044,0.918353576248313,0.5241483413371951,0.5917437188039484,0.8922345483359746,435,59,0.31264367816091954,0.7540229885057471,0.7270114942528736,0.3908925901990357,0.4439840048513501,0.7199248120300752,494,43,136,243,435,127,189,412,435,84,53,203
20260315T210604Z_locomo10_full,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210604Z_locomo10_full,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210604Z_locomo10_full\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210604Z_locomo10_full\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210604Z_locomo10_full\trace.jsonl,memoryos,LoCoMo,LoCoMo (MemoryOS),memoryos / qwen2.5:7b + mxbai-embed-large,True,False,True,False,False,transfer_full,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.fixture.json,1977,1977,0,60,60,,True,True,False,False,,,,,,,,,,1977,0,0.2862923621648963,0.8219524532119373,0.7704566674589974,0.36391432021170567,0.4339403952047801,0.7065953654188948,1977,0,0.2862923621648963,0.9964592817400101,0.9937483440518342,0.48075205070848,0.5794368817629286,0.9907308377896613,1977,0,0.0,0.9929185634800203,0.9896849483344171,0.2646605987733539,0.4091107653245528,0.9868092691622103,1977,345,0,1236,1977,352,566,1970,1977,7,566,925
20260315T205938Z_smoke2,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T205938Z_smoke2,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T205938Z_smoke2\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T205938Z_smoke2\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T205938Z_smoke2\trace.jsonl,memoryos,LoCoMo,LoCoMo,memoryos / transformed,False,False,False,True,True,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.fixture.json,4,4,0,60,60,,True,True,False,False,,,,,,,,,,4,0,0.5,0.5,0.5,0.5,0.44943072238625664,0.6,4,0,0.5,0.5,0.5,0.5,0.44943072238625664,0.6,0,4,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0
20260315T210212Z_calib1,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210212Z_calib1,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210212Z_calib1\result.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210212Z_calib1\target_rescore.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\results\target_sensitivity_memoryos\20260315T210212Z_calib1\trace.jsonl,memoryos,LoCoMo,LoCoMo,memoryos / transformed,False,False,False,True,False,mini,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.eval.json,C:\Users\sugam\Documents\research\papers\store-aware-retrieval-evaluation-for-transformed-conversational-memory-stores\eval\data\locomo10.paperlite.mini1.fixture.json,196,196,0,60,60,,True,True,False,False,,,,,,,,,,196,0,0.29591836734693877,0.8877551020408163,0.8405612244897959,0.37724542356057233,0.4692877411448826,0.7871485943775101,196,0,0.29591836734693877,0.8877551020408163,0.8405612244897959,0.37724542356057233,0.4692877411448826,0.7871485943775101,0,196,,,,,,,196,0,0,0,0,0,0,0,0,0,0,0
